iter	Passed	Remaining
0	4	4456
1	8	4254
2	12	4089
3	16	4138
4	20	4066
5	24	4017
6	27	3968
7	31	3953
8	35	3930
9	39	3945
10	43	3944
11	47	3937
12	51	3927
13	55	3882
14	58	3839
15	61	3799
16	65	3791
17	69	3772
18	72	3748
19	76	3726
20	79	3702
21	83	3701
22	86	3690
23	90	3671
24	93	3649
25	97	3644
26	100	3634
27	104	3619
28	107	3608
29	111	3594
30	114	3588
31	118	3575
32	121	3562
33	125	3552
34	128	3555
35	132	3556
36	136	3545
37	139	3535
38	143	3527
39	147	3528
40	150	3516
41	153	3506
42	157	3497
43	160	3487
44	164	3483
45	167	3473
46	170	3465
47	174	3458
48	177	3452
49	181	3450
50	185	3442
51	188	3434
52	191	3427
53	195	3424
54	198	3414
55	202	3406
56	205	3403
57	209	3397
58	213	3397
59	216	3391
60	219	3383
61	223	3375
62	226	3371
63	230	3366
64	233	3360
65	237	3359
66	240	3353
67	244	3350
68	247	3344
69	251	3340
70	255	3336
71	258	3329
72	261	3326
73	265	3323
74	269	3322
75	273	3319
76	277	3320
77	280	3317
78	284	3311
79	287	3305
80	290	3298
81	294	3297
82	298	3294
83	301	3288
84	304	3281
85	308	3277
86	311	3272
87	315	3266
88	318	3260
89	321	3254
90	325	3252
91	329	3248
92	332	3244
93	336	3239
94	339	3234
95	343	3232
96	346	3226
97	349	3220
98	353	3214
99	356	3210
100	360	3207
101	363	3201
102	366	3195
103	370	3190
104	374	3188
105	377	3182
106	380	3177
107	384	3171
108	387	3168
109	391	3169
110	395	3166
111	398	3161
112	402	3156
113	405	3152
114	409	3148
115	412	3142
116	415	3137
117	419	3133
118	422	3131
119	426	3127
120	429	3122
121	433	3118
122	436	3113
123	440	3111
124	443	3106
125	447	3101
126	450	3097
127	454	3093
128	457	3091
129	461	3086
130	464	3083
131	468	3078
132	471	3076
133	475	3071
134	478	3067
135	482	3063
136	485	3057
137	489	3055
138	492	3050
139	495	3046
140	499	3043
141	503	3039
142	506	3038
143	510	3034
144	513	3030
145	517	3026
146	521	3024
147	524	3020
148	528	3015
149	531	3010
150	534	3005
151	538	3004
152	542	3001
153	545	2997
154	548	2992
155	552	2988
156	555	2984
157	559	2979
158	562	2974
159	565	2970
160	569	2968
161	573	2964
162	576	2960
163	579	2955
164	583	2951
165	587	2952
166	590	2947
167	594	2943
168	597	2938
169	601	2936
170	605	2933
171	608	2928
172	611	2923
173	615	2919
174	618	2916
175	621	2911
176	625	2906
177	628	2901
178	632	2899
179	636	2898
180	639	2895
181	643	2893
182	647	2891
183	651	2889
184	655	2887
185	658	2883
186	662	2879
187	665	2876
188	669	2873
189	673	2869
190	676	2864
191	679	2860
192	683	2856
193	686	2852
194	689	2847
195	693	2844
196	696	2839
197	700	2837
198	703	2833
199	707	2829
200	710	2824
201	713	2819
202	720	2826
203	725	2831
204	731	2836
205	735	2834
206	740	2836
207	743	2832
208	747	2827
209	750	2824
210	754	2820
211	757	2816
212	760	2811
213	764	2808
214	767	2804
215	771	2799
216	774	2795
217	778	2791
218	781	2788
219	785	2784
220	788	2780
221	792	2776
222	795	2772
223	799	2769
224	802	2764
225	805	2759
226	809	2755
227	812	2751
228	816	2748
229	820	2745
230	823	2740
231	826	2736
232	830	2734
233	834	2730
234	837	2726
